
Imported NumPy 1.8.1, SciPy 0.14.0, Matplotlib 1.3.1
+ guidata 1.6.1, guiqwt 2.3.2
Type "scientific" for more details.
Python 2.7.6 (default, Nov 10 2013, 19:24:18) [MSC v.1500 32 bit (Intel)] on win32
Type "help", "copyright", "credits" or "license" for more information.
>>> runfile('C:/Python27/Lib/site-packages/xy/Projects/dbn_try1.py', wdir=r'C:/Python27/Lib/site-packages/xy/Projects')
... loading data
... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 55, cost  -9.53893770128
Pre-training layer 0, epoch 56, cost  -9.54538950803
Pre-training layer 0, epoch 57, cost  -9.54631502595
Pre-training layer 0, epoch 58, cost  -9.52349933577
Pre-training layer 0, epoch 59, cost  -9.54426450408
Pre-training layer 0, epoch 60, cost  -9.5404751975
Pre-training layer 0, epoch 61, cost  -9.54276888772
Pre-training layer 0, epoch 62, cost  -9.52571584338
Pre-training layer 0, epoch 63, cost  -9.5459111808
Pre-training layer 0, epoch 64, cost  -9.55098864319
Pre-training layer 0, epoch 65, cost  -9.54712531923
Pre-training layer 0, epoch 66, cost  -9.51944841659
Pre-training layer 0, epoch 67, cost  -9.54117553716
Pre-training layer 0, epoch 68, cost  -9.54005920694
Pre-training layer 0, epoch 69, cost  -9.49671611088
Pre-training layer 0, epoch 70, cost  -9.56679287678
Pre-training layer 0, epoch 71, cost  -9.55588189447
Pre-training layer 0, epoch 72, cost  -9.51392182358
Pre-training layer 0, epoch 73, cost  -9.52588648136
Pre-training layer 0, epoch 74, cost  -9.51444133302
Pre-training layer 0, epoch 75, cost  -9.51993791249
Pre-training layer 0, epoch 76, cost  -9.51604788962
Pre-training layer 0, epoch 77, cost  -9.52773636418
Pre-training layer 0, epoch 78, cost  -9.53994237126
Pre-training layer 0, epoch 79, cost  -9.51718178278
Pre-training layer 0, epoch 80, cost  -9.52448557848
Pre-training layer 0, epoch 81, cost  -9.54652604465
Pre-training layer 0, epoch 82, cost  -9.53506739843
Pre-training layer 0, epoch 83, cost  -9.51906948001
Pre-training layer 0, epoch 84, cost  -9.55432337438
Pre-training layer 0, epoch 85, cost  -9.55128584192
Pre-training layer 0, epoch 86, cost  -9.52116063289
Pre-training layer 0, epoch 87, cost  -9.54286911485
Pre-training layer 0, epoch 88, cost  -9.53397981842
Pre-training layer 0, epoch 89, cost  -9.51977108368
Pre-training layer 0, epoch 90, cost  -9.50912412416
Pre-training layer 0, epoch 91, cost  -9.54682468979
Pre-training layer 0, epoch 92, cost  -9.52644620647
Pre-training layer 0, epoch 93, cost  -9.51994554495
Pre-training layer 0, epoch 94, cost  -9.52398976134
Pre-training layer 0, epoch 95, cost  -9.55820981635
Pre-training layer 0, epoch 96, cost  -9.5117388869
Pre-training layer 0, epoch 97, cost  -9.52859814539
Pre-training layer 0, epoch 98, cost  -9.55964913779
Pre-training layer 0, epoch 99, cost  -9.52100381522
Pre-training layer 1, epoch 0, cost  -73.4435697561
Pre-training layer 1, epoch 1, cost  -61.2150326295
Pre-training layer 1, epoch 2, cost  -57.9792273434
Pre-training layer 1, epoch 3, cost  -56.3897695785
Pre-training layer 1, epoch 4, cost  -55.5989378872
Pre-training layer 1, epoch 5, cost  -54.9999186859
Pre-training layer 1, epoch 6, cost  -54.614259368
Pre-training layer 1, epoch 7, cost  -54.3314384088
Pre-training layer 1, epoch 8, cost  -54.1080591603
Pre-training layer 1, epoch 9, cost  -53.9645653878
Pre-training layer 1, epoch 10, cost  -53.8602732072
Pre-training layer 1, epoch 11, cost  -53.7875277825
Pre-training layer 1, epoch 12, cost  -53.7079907236
Pre-training layer 1, epoch 13, cost  -53.6532363631
Pre-training layer 1, epoch 14, cost  -53.6362798105
Pre-training layer 1, epoch 15, cost  -53.5869716801
Pre-training layer 1, epoch 16, cost  -53.5314728038
Pre-training layer 1, epoch 17, cost  -53.501832452
Pre-training layer 1, epoch 18, cost  -53.4718837226
Pre-training layer 1, epoch 19, cost  -53.4650802474
Pre-training layer 1, epoch 20, cost  -53.4124710466
Pre-training layer 1, epoch 21, cost  -53.4050199569
Pre-training layer 1, epoch 22, cost  -53.3673969871
Pre-training layer 1, epoch 23, cost  -53.3394206453
Pre-training layer 1, epoch 24, cost  -53.3370842042
Pre-training layer 1, epoch 25, cost  -53.3048173929
Pre-training layer 1, epoch 26, cost  -53.3128596158
Pre-training layer 1, epoch 27, cost  -53.27414813
Pre-training layer 1, epoch 28, cost  -53.2626108522
Pre-training layer 1, epoch 29, cost  -53.2443806181
Pre-training layer 1, epoch 30, cost  -53.2321824651
Pre-training layer 1, epoch 31, cost  -53.1999976879
Pre-training layer 1, epoch 32, cost  -53.1932039909
Pre-training layer 1, epoch 33, cost  -53.1766860295
Pre-training layer 1, epoch 34, cost  -53.1648218749
Pre-training layer 1, epoch 35, cost  -53.1629691217
Pre-training layer 1, epoch 36, cost  -53.1301913168
Pre-training layer 1, epoch 37, cost  -53.1092169307
Pre-training layer 1, epoch 38, cost  -53.1044636545
Pre-training layer 1, epoch 39, cost  -53.0884707864
Pre-training layer 1, epoch 40, cost  -53.0642940815
Pre-training layer 1, epoch 41, cost  -53.0553346971
Pre-training layer 1, epoch 42, cost  -53.0460541657
Pre-training layer 1, epoch 43, cost  -53.0371696522
Pre-training layer 1, epoch 44, cost  -53.0162635174
Pre-training layer 1, epoch 45, cost  -53.0058169079
Pre-training layer 1, epoch 46, cost  -53.0099624961
Pre-training layer 1, epoch 47, cost  -52.9978561061
Pre-training layer 1, epoch 48, cost  -52.9805972412
Pre-training layer 1, epoch 49, cost  -52.9795506181
Pre-training layer 1, epoch 50, cost  -52.9811452777
Pre-training layer 1, epoch 51, cost  -52.9719256153
Pre-training layer 1, epoch 52, cost  -52.9700666963
Pre-training layer 1, epoch 53, cost  -52.9573704931
Pre-training layer 1, epoch 54, cost  -52.9672797168
Pre-training layer 1, epoch 55, cost  -52.9707371133
Pre-training layer 1, epoch 56, cost  -52.9490975483
Pre-training layer 1, epoch 57, cost  -52.9605908224
Pre-training layer 1, epoch 58, cost  -52.9456849676
Pre-training layer 1, epoch 59, cost  -52.9516450496
Pre-training layer 1, epoch 60, cost  -52.9468256641
Pre-training layer 1, epoch 61, cost  -52.9580296601
Pre-training layer 1, epoch 62, cost  -52.9474087745
Pre-training layer 1, epoch 63, cost  -52.9494131393
Pre-training layer 1, epoch 64, cost  -52.9487703785
Pre-training layer 1, epoch 65, cost  -52.9229510546
Pre-training layer 1, epoch 66, cost  -52.9411096577
Pre-training layer 1, epoch 67, cost  -52.9206543838
Pre-training layer 1, epoch 68, cost  -52.9287232728
Pre-training layer 1, epoch 69, cost  -52.9325515679
Pre-training layer 1, epoch 70, cost  -52.9281097858
Pre-training layer 1, epoch 71, cost  -52.9248633897
Pre-training layer 1, epoch 72, cost  -52.9270202955
Pre-training layer 1, epoch 73, cost  -52.9268165745
Pre-training layer 1, epoch 74, cost  -52.9264383101
Pre-training layer 1, epoch 75, cost  -52.9142938253
Pre-training layer 1, epoch 76, cost  -52.9296499715
Pre-training layer 1, epoch 77, cost  -52.9219567581
Pre-training layer 1, epoch 78, cost  -52.9196774733
Pre-training layer 1, epoch 79, cost  -52.9236639462
Pre-training layer 1, epoch 80, cost  -52.9224417401
Pre-training layer 1, epoch 81, cost  -52.9256234507
Pre-training layer 1, epoch 82, cost  -52.907886554
Pre-training layer 1, epoch 83, cost  -52.9158577468
Pre-training layer 1, epoch 84, cost  -52.906091115
Pre-training layer 1, epoch 85, cost  -52.9100554642
Pre-training layer 1, epoch 86, cost  -52.9084181006
Pre-training layer 1, epoch 87, cost  -52.9090528763
Pre-training layer 1, epoch 88, cost  -52.9136683727
Pre-training layer 1, epoch 89, cost  -52.9009291701
Pre-training layer 1, epoch 90, cost  -52.9091880574
Pre-training layer 1, epoch 91, cost  -52.9012552555
Pre-training layer 1, epoch 92, cost  -52.8991638056
Pre-training layer 1, epoch 93, cost  -52.9078167068
Pre-training layer 1, epoch 94, cost  -52.9082861423
Pre-training layer 1, epoch 95, cost  -52.894524331
Pre-training layer 1, epoch 96, cost  -52.9055535736
Pre-training layer 1, epoch 97, cost  -52.9121243506
Pre-training layer 1, epoch 98, cost  -52.9115838282
Pre-training layer 1, epoch 99, cost  -52.8955273318
Pre-training layer 2, epoch 0, cost  -13.164052776
Pre-training layer 2, epoch 1, cost  -5.76787159078
Pre-training layer 2, epoch 2, cost  -5.4389736351
Pre-training layer 2, epoch 3, cost  -5.26608963434
Pre-training layer 2, epoch 4, cost  -5.16034744573
Pre-training layer 2, epoch 5, cost  -5.082709015
Pre-training layer 2, epoch 6, cost  -5.02123527602
Pre-training layer 2, epoch 7, cost  -4.97114534023
Pre-training layer 2, epoch 8, cost  -4.93483853812
Pre-training layer 2, epoch 9, cost  -4.90134606447
Pre-training layer 2, epoch 10, cost  -4.86907531184
Pre-training layer 2, epoch 11, cost  -4.85499421647
Pre-training layer 2, epoch 12, cost  -4.83270922677
Pre-training layer 2, epoch 13, cost  -4.80271822427
Pre-training layer 2, epoch 14, cost  -4.78301848116
Pre-training layer 2, epoch 15, cost  -4.76102301148
Pre-training layer 2, epoch 16, cost  -4.74790190678
Pre-training layer 2, epoch 17, cost  -4.73044277049
Pre-training layer 2, epoch 18, cost  -4.71963823424
Pre-training layer 2, epoch 19, cost  -4.70763697992
Pre-training layer 2, epoch 20, cost  -4.69103298196
Pre-training layer 2, epoch 21, cost  -4.68262756826
Pre-training layer 2, epoch 22, cost  -4.67170203372
Pre-training layer 2, epoch 23, cost  -4.66337860321
Pre-training layer 2, epoch 24, cost  -4.65396397885
Pre-training layer 2, epoch 25, cost  -4.65540307354
Pre-training layer 2, epoch 26, cost  -4.64365417707
Pre-training layer 2, epoch 27, cost  -4.63340794933
Pre-training layer 2, epoch 28, cost  -4.6218939321
Pre-training layer 2, epoch 29, cost  -4.61571223851
Pre-training layer 2, epoch 30, cost  -4.61454366665
Pre-training layer 2, epoch 31, cost  -4.60733604229
Pre-training layer 2, epoch 32, cost  -4.59909802237
Pre-training layer 2, epoch 33, cost  -4.59718106247
Pre-training layer 2, epoch 34, cost  -4.59122551363
Pre-training layer 2, epoch 35, cost  -4.59114940224
Pre-training layer 2, epoch 36, cost  -4.5830067704
Pre-training layer 2, epoch 37, cost  -4.57499240889
Pre-training layer 2, epoch 38, cost  -4.57115649021
Pre-training layer 2, epoch 39, cost  -4.56556104631
Pre-training layer 2, epoch 40, cost  -4.56157692105
Pre-training layer 2, epoch 41, cost  -4.55881212111
Pre-training layer 2, epoch 42, cost  -4.55837893832
Pre-training layer 2, epoch 43, cost  -4.55332817237
Pre-training layer 2, epoch 44, cost  -4.54692846318
Pre-training layer 2, epoch 45, cost  -4.53988816755
Pre-training layer 2, epoch 46, cost  -4.54223626118
Pre-training layer 2, epoch 47, cost  -4.54230988879
Pre-training layer 2, epoch 48, cost  -4.53732335798
Pre-training layer 2, epoch 49, cost  -4.53370621043
Pre-training layer 2, epoch 50, cost  -4.53172400772
Pre-training layer 2, epoch 51, cost  -4.52793729944
Pre-training layer 2, epoch 52, cost  -4.52330813595
Pre-training layer 2, epoch 53, cost  -4.52449513112
Pre-training layer 2, epoch 54, cost  -4.52229416977
Pre-training layer 2, epoch 55, cost  -4.52043862558
Pre-training layer 2, epoch 56, cost  -4.51792168376
Pre-training layer 2, epoch 57, cost  -4.51728180802
Pre-training layer 2, epoch 58, cost  -4.51492825042
Pre-training layer 2, epoch 59, cost  -4.50951905483
Pre-training layer 2, epoch 60, cost  -4.50656939364
Pre-training layer 2, epoch 61, cost  -4.50940536657
Pre-training layer 2, epoch 62, cost  -4.50716542719
Pre-training layer 2, epoch 63, cost  -4.5012706073
Pre-training layer 2, epoch 64, cost  -4.50780292649
Pre-training layer 2, epoch 65, cost  -4.50501107572
Pre-training layer 2, epoch 66, cost  -4.49929578254
Pre-training layer 2, epoch 67, cost  -4.49775926255
Pre-training layer 2, epoch 68, cost  -4.4913306804
Pre-training layer 2, epoch 69, cost  -4.4953889944
Pre-training layer 2, epoch 70, cost  -4.49999892257
Pre-training layer 2, epoch 71, cost  -4.49039153922
Pre-training layer 2, epoch 72, cost  -4.49476529153
Pre-training layer 2, epoch 73, cost  -4.48839661214
Pre-training layer 2, epoch 74, cost  -4.48834215206
Pre-training layer 2, epoch 75, cost  -4.48520108527
Pre-training layer 2, epoch 76, cost  -4.4856853869
Pre-training layer 2, epoch 77, cost  -4.48630858852
Pre-training layer 2, epoch 78, cost  -4.48804190894
Pre-training layer 2, epoch 79, cost  -4.48292358301
Pre-training layer 2, epoch 80, cost  -4.47869377113
Pre-training layer 2, epoch 81, cost  -4.48061211741
Pre-training layer 2, epoch 82, cost  -4.47794492564
Pre-training layer 2, epoch 83, cost  -4.47417222816
Pre-training layer 2, epoch 84, cost  -4.47641561115
Pre-training layer 2, epoch 85, cost  -4.47355166586
Pre-training layer 2, epoch 86, cost  -4.47186571841
Pre-training layer 2, epoch 87, cost  -4.47165862604
Pre-training layer 2, epoch 88, cost  -4.47374232228
Pre-training layer 2, epoch 89, cost  -4.46926753488
Pre-training layer 2, epoch 90, cost  -4.47277679555
Pre-training layer 2, epoch 91, cost  -4.47295250076
Pre-training layer 2, epoch 92, cost  -4.46980725487
Pre-training layer 2, epoch 93, cost  -4.46723767646
Pre-training layer 2, epoch 94, cost  -4.4695165702
Pre-training layer 2, epoch 95, cost  -4.46624200561
Pre-training layer 2, epoch 96, cost  -4.47166958792
Pre-training layer 2, epoch 97, cost  -4.46553407143
Pre-training layer 2, epoch 98, cost  -4.46630679639
Pre-training layer 2, epoch 99, cost  -4.46786414672
Pre-training layer 3, epoch 0, cost  -27.2528892732
Pre-training layer 3, epoch 1, cost  -22.2197434515
Pre-training layer 3, epoch 2, cost  -21.7990368971
Pre-training layer 3, epoch 3, cost  -21.653401169
Pre-training layer 3, epoch 4, cost  -21.5830467518
Pre-training layer 3, epoch 5, cost  -21.5228998696
Pre-training layer 3, epoch 6, cost  -21.450728771
Pre-training layer 3, epoch 7, cost  -21.4014815854
Pre-training layer 3, epoch 8, cost  -21.3588178305
Pre-training layer 3, epoch 9, cost  -21.3198749896
Pre-training layer 3, epoch 10, cost  -21.3035533906
Pre-training layer 3, epoch 11, cost  -21.2613941419
Pre-training layer 3, epoch 12, cost  -21.2294503429
Pre-training layer 3, epoch 13, cost  -21.2192956068
Pre-training layer 3, epoch 14, cost  -21.1882937452
Pre-training layer 3, epoch 15, cost  -21.1554891163
Pre-training layer 3, epoch 16, cost  -21.13915447
Pre-training layer 3, epoch 17, cost  -21.1008935475
Pre-training layer 3, epoch 18, cost  -21.0953275331
Pre-training layer 3, epoch 19, cost  -21.0771997888
Pre-training layer 3, epoch 20, cost  -21.0760518324
Pre-training layer 3, epoch 21, cost  -21.0563310282
Pre-training layer 3, epoch 22, cost  -21.0429847005
Pre-training layer 3, epoch 23, cost  -21.0289618174
Pre-training layer 3, epoch 24, cost  -21.0218021552
Pre-training layer 3, epoch 25, cost  -20.9911455105
Pre-training layer 3, epoch 26, cost  -20.992962824
Pre-training layer 3, epoch 27, cost  -20.9744919655
Pre-training layer 3, epoch 28, cost  -20.9623653871
Pre-training layer 3, epoch 29, cost  -20.9431958505
Pre-training layer 3, epoch 30, cost  -20.9484616976
Pre-training layer 3, epoch 31, cost  -20.9363330564
Pre-training layer 3, epoch 32, cost  -20.9244154515
Pre-training layer 3, epoch 33, cost  -20.9156401792
Pre-training layer 3, epoch 34, cost  -20.911379704
Pre-training layer 3, epoch 35, cost  -20.9109049575
Pre-training layer 3, epoch 36, cost  -20.8980450544
Pre-training layer 3, epoch 37, cost  -20.8834817017
Pre-training layer 3, epoch 38, cost  -20.8840168198
Pre-training layer 3, epoch 39, cost  -20.8708516019
Pre-training layer 3, epoch 40, cost  -20.8691651438
Pre-training layer 3, epoch 41, cost  -20.8745904339
Pre-training layer 3, epoch 42, cost  -20.8580191936
Pre-training layer 3, epoch 43, cost  -20.8525671514
Pre-training layer 3, epoch 44, cost  -20.8568499508
Pre-training layer 3, epoch 45, cost  -20.8349370842
Pre-training layer 3, epoch 46, cost  -20.8440954602
Pre-training layer 3, epoch 47, cost  -20.837509752
Pre-training layer 3, epoch 48, cost  -20.820853922
Pre-training layer 3, epoch 49, cost  -20.8309434298
Pre-training layer 3, epoch 50, cost  -20.8326170742
Pre-training layer 3, epoch 51, cost  -20.8188463888
Pre-training layer 3, epoch 52, cost  -20.8159386897
Pre-training layer 3, epoch 53, cost  -20.8047134329
Pre-training layer 3, epoch 54, cost  -20.8038796735
Pre-training layer 3, epoch 55, cost  -20.8011747477
Pre-training layer 3, epoch 56, cost  -20.7976537183
Pre-training layer 3, epoch 57, cost  -20.7909380793
Pre-training layer 3, epoch 58, cost  -20.7925718686
Pre-training layer 3, epoch 59, cost  -20.8013630344
Pre-training layer 3, epoch 60, cost  -20.7837144172
Pre-training layer 3, epoch 61, cost  -20.7865272868
Pre-training layer 3, epoch 62, cost  -20.7808772594
Pre-training layer 3, epoch 63, cost  -20.7737168882
Pre-training layer 3, epoch 64, cost  -20.7868589741
Pre-training layer 3, epoch 65, cost  -20.7698714624
Pre-training layer 3, epoch 66, cost  -20.7657653607
Pre-training layer 3, epoch 67, cost  -20.7729449417
Pre-training layer 3, epoch 68, cost  -20.7765329069
Pre-training layer 3, epoch 69, cost  -20.7615408348
Pre-training layer 3, epoch 70, cost  -20.7576767637
Pre-training layer 3, epoch 71, cost  -20.7751944942
Pre-training layer 3, epoch 72, cost  -20.7621878657
Pre-training layer 3, epoch 73, cost  -20.7554640482
Pre-training layer 3, epoch 74, cost  -20.7555923436
Pre-training layer 3, epoch 75, cost  -20.7522127823
Pre-training layer 3, epoch 76, cost  -20.7585681866
Pre-training layer 3, epoch 77, cost  -20.7469930841
Pre-training layer 3, epoch 78, cost  -20.7441233839
Pre-training layer 3, epoch 79, cost  -20.7388786286
Pre-training layer 3, epoch 80, cost  -20.7407592238
Pre-training layer 3, epoch 81, cost  -20.7315061867
Pre-training layer 3, epoch 82, cost  -20.7381497593
Pre-training layer 3, epoch 83, cost  -20.7443371176
Pre-training layer 3, epoch 84, cost  -20.7413890272
Pre-training layer 3, epoch 85, cost  -20.7395714619
Pre-training layer 3, epoch 86, cost  -20.7350330929
Pre-training layer 3, epoch 87, cost  -20.731433395
Pre-training layer 3, epoch 88, cost  -20.7299962208
Pre-training layer 3, epoch 89, cost  -20.7326495206
Pre-training layer 3, epoch 90, cost  -20.7329405061
Pre-training layer 3, epoch 91, cost  -20.7226447262
Pre-training layer 3, epoch 92, cost  -20.7162139244
Pre-training layer 3, epoch 93, cost  -20.7286196646
Pre-training layer 3, epoch 94, cost  -20.7248896972
Pre-training layer 3, epoch 95, cost  -20.7230697463
Pre-training layer 3, epoch 96, cost  -20.7195750435
Pre-training layer 3, epoch 97, cost  -20.7092360401
Pre-training layer 3, epoch 98, cost  -20.7248327692
Pre-training layer 3, epoch 99, cost  -20.7195800992
Pre-training layer 4, epoch 0, cost  -8.29169481126
Pre-training layer 4, epoch 1, cost  -3.64973473289
Pre-training layer 4, epoch 2, cost  -3.49048745941
Pre-training layer 4, epoch 3, cost  -3.42110390402
Pre-training layer 4, epoch 4, cost  -3.37952284312
Pre-training layer 4, epoch 5, cost  -3.35373997209
Pre-training layer 4, epoch 6, cost  -3.33006837289
Pre-training layer 4, epoch 7, cost  -3.31500490245
Pre-training layer 4, epoch 8, cost  -3.29910304386
Pre-training layer 4, epoch 9, cost  -3.28967938713
Pre-training layer 4, epoch 10, cost  -3.28245685843
Pre-training layer 4, epoch 11, cost  -3.27569481452
Pre-training layer 4, epoch 12, cost  -3.26571906058
Pre-training layer 4, epoch 13, cost  -3.26348605747
Pre-training layer 4, epoch 14, cost  -3.2548889178
Pre-training layer 4, epoch 15, cost  -3.25164581691
Pre-training layer 4, epoch 16, cost  -3.25237787213
Pre-training layer 4, epoch 17, cost  -3.24589386402
Pre-training layer 4, epoch 18, cost  -3.24122416518
Pre-training layer 4, epoch 19, cost  -3.2401962688
Pre-training layer 4, epoch 20, cost  -3.23835917426
Pre-training layer 4, epoch 21, cost  -3.23559589405
Pre-training layer 4, epoch 22, cost  -3.23598886968
Pre-training layer 4, epoch 23, cost  -3.23431699108
Pre-training layer 4, epoch 24, cost  -3.23206144184
Pre-training layer 4, epoch 25, cost  -3.23003338275
Pre-training layer 4, epoch 26, cost  -3.22835660587
Pre-training layer 4, epoch 27, cost  -3.22800030594
Pre-training layer 4, epoch 28, cost  -3.22812480024
Pre-training layer 4, epoch 29, cost  -3.22688277042
Pre-training layer 4, epoch 30, cost  -3.22545959666
Pre-training layer 4, epoch 31, cost  -3.22798713517
Pre-training layer 4, epoch 32, cost  -3.2216771662
Pre-training layer 4, epoch 33, cost  -3.2193085429
Pre-training layer 4, epoch 34, cost  -3.21960784882
Pre-training layer 4, epoch 35, cost  -3.22112304085
Pre-training layer 4, epoch 36, cost  -3.21963395576
Pre-training layer 4, epoch 37, cost  -3.21989889683
Pre-training layer 4, epoch 38, cost  -3.22134633556
Pre-training layer 4, epoch 39, cost  -3.22027867644
Pre-training layer 4, epoch 40, cost  -3.2173325554
Pre-training layer 4, epoch 41, cost  -3.21509608092
Pre-training layer 4, epoch 42, cost  -3.21638023985
Pre-training layer 4, epoch 43, cost  -3.21657825003
Pre-training layer 4, epoch 44, cost  -3.21720263754
Pre-training layer 4, epoch 45, cost  -3.21694667274
Pre-training layer 4, epoch 46, cost  -3.21476358918
Pre-training layer 4, epoch 47, cost  -3.21645223848
Pre-training layer 4, epoch 48, cost  -3.21465383898
Pre-training layer 4, epoch 49, cost  -3.21347849111
Pre-training layer 4, epoch 50, cost  -3.21377146019
Pre-training layer 4, epoch 51, cost  -3.21218741934
Pre-training layer 4, epoch 52, cost  -3.21545162864
Pre-training layer 4, epoch 53, cost  -3.21219934095
Pre-training layer 4, epoch 54, cost  -3.21322196105
Pre-training layer 4, epoch 55, cost  -3.21115240214
Pre-training layer 4, epoch 56, cost  -3.21368161519
Pre-training layer 4, epoch 57, cost  -3.21147524157
Pre-training layer 4, epoch 58, cost  -3.20960837755
Pre-training layer 4, epoch 59, cost  -3.21130952775
Pre-training layer 4, epoch 60, cost  -3.20894810876
Pre-training layer 4, epoch 61, cost  -3.20967296097
Pre-training layer 4, epoch 62, cost  -3.20861388752
Pre-training layer 4, epoch 63, cost  -3.20806816982
Pre-training layer 4, epoch 64, cost  -3.21036769291
Pre-training layer 4, epoch 65, cost  -3.20865386802
Pre-training layer 4, epoch 66, cost  -3.21108234667
Pre-training layer 4, epoch 67, cost  -3.20737960361
Pre-training layer 4, epoch 68, cost  -3.2081269392
Pre-training layer 4, epoch 69, cost  -3.21000391848
Pre-training layer 4, epoch 70, cost  -3.2067604089
Pre-training layer 4, epoch 71, cost  -3.20534330184
Pre-training layer 4, epoch 72, cost  -3.20555550218
Pre-training layer 4, epoch 73, cost  -3.20569249499
Pre-training layer 4, epoch 74, cost  -3.20798040585
Pre-training layer 4, epoch 75, cost  -3.20608228109
Pre-training layer 4, epoch 76, cost  -3.20463582488
Pre-training layer 4, epoch 77, cost  -3.20510542701
Pre-training layer 4, epoch 78, cost  -3.20186995934
Pre-training layer 4, epoch 79, cost  -3.20487154448
Pre-training layer 4, epoch 80, cost  -3.20443190223
Pre-training layer 4, epoch 81, cost  -3.20562683927
Pre-training layer 4, epoch 82, cost  -3.20382731083
Pre-training layer 4, epoch 83, cost  -3.20060740005
Pre-training layer 4, epoch 84, cost  -3.20260523005
Pre-training layer 4, epoch 85, cost  -3.20299210867
Pre-training layer 4, epoch 86, cost  -3.20173287395
Pre-training layer 4, epoch 87, cost  -3.20279828106
Pre-training layer 4, epoch 88, cost  -3.20186993665
Pre-training layer 4, epoch 89, cost  -3.20788792909
Pre-training layer 4, epoch 90, cost  -3.20337961678
Pre-training layer 4, epoch 91, cost  -3.20107916847
Pre-training layer 4, epoch 92, cost  -3.20206186065
Pre-training layer 4, epoch 93, cost  -3.20199692775
Pre-training layer 4, epoch 94, cost  -3.20248554153
Pre-training layer 4, epoch 95, cost  -3.20444939882
Pre-training layer 4, epoch 96, cost  -3.2028036864
Pre-training layer 4, epoch 97, cost  -3.2024628135
Pre-training layer 4, epoch 98, cost  -3.20219968098
Pre-training layer 4, epoch 99, cost  -3.20212006318
